o,h,l,c,time
1.10508,1.10524,1.10418,1.10442,2016-07-10T23:00:00.000000000Z
1.10440,1.10473,1.10340,1.10384,2016-07-11T00:00:00.000000000Z
1.10384,1.10478,1.10378,1.10449,2016-07-11T01:00:00.000000000Z
1.10452,1.10552,1.10446,1.10502,2016-07-11T02:00:00.000000000Z
1.10505,1.10556,1.10479,1.10544,2016-07-11T03:00:00.000000000Z
1.10541,1.10544,1.10454,1.10470,2016-07-11T04:00:00.000000000Z
1.10466,1.10488,1.10425,1.10446,2016-07-11T05:00:00.000000000Z
1.10442,1.10538,1.10332,1.10418,2016-07-11T06:00:00.000000000Z
1.10416,1.10434,1.10156,1.10252,2016-07-11T07:00:00.000000000Z
1.10254,1.10395,1.10206,1.10263,2016-07-11T08:00:00.000000000Z
1.10266,1.10345,1.10212,1.10323,2016-07-11T09:00:00.000000000Z
1.10320,1.10480,1.10283,1.10476,2016-07-11T10:00:00.000000000Z
1.10478,1.10597,1.10424,1.10464,2016-07-11T11:00:00.000000000Z
1.10462,1.10558,1.10420,1.10539,2016-07-11T12:00:00.000000000Z
1.10537,1.10744,1.10493,1.10646,2016-07-11T13:00:00.000000000Z
1.10646,1.10691,1.10443,1.10446,2016-07-11T14:00:00.000000000Z
1.10448,1.10500,1.10357,1.10445,2016-07-11T15:00:00.000000000Z
1.10448,1.10546,1.10446,1.10532,2016-07-11T16:00:00.000000000Z
1.10536,1.10591,1.10514,1.10568,2016-07-11T17:00:00.000000000Z
1.10565,1.10623,1.10549,1.10566,2016-07-11T18:00:00.000000000Z
1.10562,1.10634,1.10553,1.10572,2016-07-11T19:00:00.000000000Z
1.10570,1.10616,1.10550,1.10573,2016-07-11T20:00:00.000000000Z
1.10585,1.10622,1.10561,1.10606,2016-07-11T21:00:00.000000000Z
1.10612,1.10668,1.10568,1.10598,2016-07-11T22:00:00.000000000Z
1.10602,1.10610,1.10556,1.10568,2016-07-11T23:00:00.000000000Z
1.10572,1.10614,1.10526,1.10594,2016-07-12T00:00:00.000000000Z
1.10598,1.10818,1.10522,1.10772,2016-07-12T01:00:00.000000000Z
1.10770,1.10912,1.10737,1.10866,2016-07-12T02:00:00.000000000Z
1.10870,1.10872,1.10762,1.10774,2016-07-12T03:00:00.000000000Z
1.10772,1.10784,1.10737,1.10776,2016-07-12T04:00:00.000000000Z
1.10774,1.10873,1.10750,1.10860,2016-07-12T05:00:00.000000000Z
1.10862,1.10900,1.10796,1.10888,2016-07-12T06:00:00.000000000Z
1.10890,1.11266,1.10872,1.11098,2016-07-12T07:00:00.000000000Z
1.11100,1.11224,1.11059,1.11116,2016-07-12T08:00:00.000000000Z
1.11114,1.11164,1.11038,1.11058,2016-07-12T09:00:00.000000000Z
1.11062,1.11144,1.10919,1.10926,2016-07-12T10:00:00.000000000Z
1.10922,1.10952,1.10799,1.10924,2016-07-12T11:00:00.000000000Z
1.10928,1.11056,1.10892,1.11015,2016-07-12T12:00:00.000000000Z
1.11016,1.11026,1.10824,1.10928,2016-07-12T13:00:00.000000000Z
1.10927,1.10986,1.10649,1.10720,2016-07-12T14:00:00.000000000Z
1.10720,1.10764,1.10610,1.10730,2016-07-12T15:00:00.000000000Z
1.10733,1.10918,1.10724,1.10915,2016-07-12T16:00:00.000000000Z
1.10912,1.10920,1.10688,1.10746,2016-07-12T17:00:00.000000000Z
1.10742,1.10743,1.10646,1.10687,2016-07-12T18:00:00.000000000Z
1.10690,1.10700,1.10607,1.10622,2016-07-12T19:00:00.000000000Z
1.10626,1.10644,1.10607,1.10609,2016-07-12T20:00:00.000000000Z
1.10612,1.10666,1.10609,1.10640,2016-07-12T21:00:00.000000000Z
1.10643,1.10653,1.10622,1.10634,2016-07-12T22:00:00.000000000Z
1.10634,1.10674,1.10584,1.10604,2016-07-12T23:00:00.000000000Z
1.10600,1.10634,1.10538,1.10620,2016-07-13T00:00:00.000000000Z
1.10618,1.10699,1.10572,1.10618,2016-07-13T01:00:00.000000000Z
1.10622,1.10646,1.10548,1.10640,2016-07-13T02:00:00.000000000Z
1.10638,1.10694,1.10614,1.10618,2016-07-13T03:00:00.000000000Z
1.10622,1.10658,1.10594,1.10657,2016-07-13T04:00:00.000000000Z
1.10659,1.10713,1.10634,1.10689,2016-07-13T05:00:00.000000000Z
1.10685,1.10685,1.10556,1.10576,2016-07-13T06:00:00.000000000Z
1.10576,1.10636,1.10424,1.10468,2016-07-13T07:00:00.000000000Z
1.10465,1.10626,1.10430,1.10598,2016-07-13T08:00:00.000000000Z
1.10597,1.10807,1.10498,1.10784,2016-07-13T09:00:00.000000000Z
1.10786,1.10849,1.10722,1.10848,2016-07-13T10:00:00.000000000Z
1.10846,1.10850,1.10725,1.10742,2016-07-13T11:00:00.000000000Z
1.10745,1.10884,1.10668,1.10878,2016-07-13T12:00:00.000000000Z
1.10876,1.10948,1.10798,1.10830,2016-07-13T13:00:00.000000000Z
1.10834,1.11200,1.10819,1.11019,2016-07-13T14:00:00.000000000Z
1.11016,1.11144,1.11004,1.11119,2016-07-13T15:00:00.000000000Z
1.11117,1.11168,1.11022,1.11084,2016-07-13T16:00:00.000000000Z
1.11086,1.11131,1.11051,1.11074,2016-07-13T17:00:00.000000000Z
1.11074,1.11107,1.11066,1.11076,2016-07-13T18:00:00.000000000Z
1.11078,1.11084,1.10933,1.10937,2016-07-13T19:00:00.000000000Z
1.10940,1.10969,1.10877,1.10900,2016-07-13T20:00:00.000000000Z
1.10892,1.10966,1.10884,1.10950,2016-07-13T21:00:00.000000000Z
1.10946,1.11012,1.10938,1.10984,2016-07-13T22:00:00.000000000Z
1.10984,1.11036,1.10925,1.10950,2016-07-13T23:00:00.000000000Z
1.10954,1.11001,1.10930,1.10964,2016-07-14T00:00:00.000000000Z
1.10968,1.11100,1.10944,1.11095,2016-07-14T01:00:00.000000000Z
1.11098,1.11162,1.11056,1.11124,2016-07-14T02:00:00.000000000Z
1.11122,1.11128,1.11039,1.11048,2016-07-14T03:00:00.000000000Z
1.11051,1.11115,1.11020,1.11115,2016-07-14T04:00:00.000000000Z
1.11118,1.11216,1.11010,1.11038,2016-07-14T05:00:00.000000000Z
1.11038,1.11296,1.11026,1.11054,2016-07-14T06:00:00.000000000Z
1.11056,1.11064,1.10884,1.10994,2016-07-14T07:00:00.000000000Z
1.10990,1.11104,1.10934,1.11080,2016-07-14T08:00:00.000000000Z
1.11080,1.11173,1.11044,1.11126,2016-07-14T09:00:00.000000000Z
1.11128,1.11162,1.10970,1.11040,2016-07-14T10:00:00.000000000Z
1.11034,1.11650,1.11024,1.11516,2016-07-14T11:00:00.000000000Z
1.11520,1.11650,1.11101,1.11151,2016-07-14T12:00:00.000000000Z
1.11154,1.11193,1.11010,1.11120,2016-07-14T13:00:00.000000000Z
1.11123,1.11246,1.11030,1.11044,2016-07-14T14:00:00.000000000Z
1.11048,1.11138,1.10981,1.11071,2016-07-14T15:00:00.000000000Z
1.11074,1.11211,1.11074,1.11133,2016-07-14T16:00:00.000000000Z
1.11136,1.11298,1.11118,1.11200,2016-07-14T17:00:00.000000000Z
1.11202,1.11260,1.11178,1.11215,2016-07-14T18:00:00.000000000Z
1.11218,1.11244,1.11126,1.11136,2016-07-14T19:00:00.000000000Z
1.11135,1.11220,1.11129,1.11204,2016-07-14T20:00:00.000000000Z
1.11208,1.11208,1.11127,1.11130,2016-07-14T21:00:00.000000000Z
1.11134,1.11176,1.11110,1.11124,2016-07-14T22:00:00.000000000Z
1.11128,1.11182,1.11024,1.11063,2016-07-14T23:00:00.000000000Z
1.11060,1.11190,1.11054,1.11168,2016-07-15T00:00:00.000000000Z
1.11163,1.11163,1.11076,1.11134,2016-07-15T01:00:00.000000000Z
1.11134,1.11399,1.11047,1.11332,2016-07-15T02:00:00.000000000Z
1.11334,1.11367,1.11280,1.11306,2016-07-15T03:00:00.000000000Z
1.11302,1.11379,1.11250,1.11267,2016-07-15T04:00:00.000000000Z
1.11266,1.11280,1.11176,1.11190,2016-07-15T05:00:00.000000000Z
1.11187,1.11316,1.11158,1.11256,2016-07-15T06:00:00.000000000Z
1.11259,1.11396,1.11259,1.11326,2016-07-15T07:00:00.000000000Z
1.11330,1.11488,1.11324,1.11390,2016-07-15T08:00:00.000000000Z
1.11394,1.11434,1.11304,1.11416,2016-07-15T09:00:00.000000000Z
1.11416,1.11438,1.11346,1.11364,2016-07-15T10:00:00.000000000Z
1.11361,1.11403,1.11212,1.11224,2016-07-15T11:00:00.000000000Z
1.11227,1.11346,1.11066,1.11164,2016-07-15T12:00:00.000000000Z
1.11162,1.11184,1.10718,1.10819,2016-07-15T13:00:00.000000000Z
1.10819,1.10902,1.10644,1.10705,2016-07-15T14:00:00.000000000Z
1.10708,1.10730,1.10561,1.10584,2016-07-15T15:00:00.000000000Z
1.10588,1.10681,1.10532,1.10622,2016-07-15T16:00:00.000000000Z
1.10619,1.10679,1.10592,1.10649,2016-07-15T17:00:00.000000000Z
